Unique.ID,sex,species,Novogene.id,Lat,Long
SP01.01,F,americana,B151,30.11,-95.45
GL23895,F,americana,B160,30.07,-99.24
07EL15,m,americana,B161,21.371,-104.62
10AP36,F,americana,B162,19.4561,-96.479
ZANAaAM01,M,americana,E007,16.45,-94.34
NMSCaAM04,M,americana,E015,15.77,-93.3
TXRSaAM03,F,americana,E024,16.65,-93.16
TN0302,F,americana,E071,35.87,-87.71
OK0203,F,americana,E073,34.78,-98.61
MO0109,F,americana,E074,37.44,-90.96
IL0501,F,americana,E076,42.02,-89.33
IA0505,F,americana,E078,42.3,-92.02
WCKC14171,M,americana,E079,31.05,-90.17
MI0160,M,americana,E080,42.23,-84.49
GL23893,F,americana,E082,30.07,-99.24
EAFB014148,F,americana,E085,30.54,-86.86
STDMaAM01,M,americana,E108,15.82,-96.69
05LT06,F,americana,E113,20.73,-103.62
HamEF2,,americana,E114,26.42475,-108.622
06CT05,m,americana,E124,18.3697,-95.002
TM01am01,m,americana,E125,21.94,-99.4
CA_MX0101,f,americana,E127,22.0596,-100.49
EC0101,m,americana,E129,23.1403,-99.116
TC0101,f,americana,E130,21.807,-99.184
EP0201,m,americana,E134,19.3196,-96.632
RG0102,m,americana,E135,18.4116,-95.172
05CB23,f,americana,E136,19.6372,-104.49
HU0101,m,americana,E139,19.1288,-97.011
08LM01_6263,m,americana,E140,31.065,-98.174
05TM11,m,americana,E141,19.9815,-105.15
RJ0101,m,americana,E143,19.0416,-96.664
EA0101,m,americana,E144,19.4193,-96.617
SF01.027 (male),m,americana,E146,33.1329,-109.28
SF01.028 (female),f,americana,E147,33.1329,-109.28
TXRSbAM04,F,americana,P002,16.65,-93.16
HclEF4,,calverti,E117,26.42475,-108.622
HclEF8,,calverti,E118,26.42475,-108.622
05RL02,M,cruentata,B155,21.37,-104.62
EC0305,M,cruentata,E053,10.92,-85.47
11PX01,M,cruentata,E059,19.47,-96.95
MV0104,M,cruentata,E060,10.31,-84.8
05RL09,F,cruentata,E063,21.37,-104.62
CT02,M,cruentata,E064,18.37,-95
HcrAB4,,cruentata,E119,19.47888,-100.495
HcrSR2,,cruentata,E120,16.1056,-92.1333
LJ0202,m,cruentata,E128,19.6597,-104.32
LJ0101,m,cruentata,E132,19.6597,-104.32
LJ0101,m,cruentata,E137,19.6597,-104.32
BZ4505,M,cruentata,L007,17.05,-88.95
06OT0174,M,occisa,B154,18.69,-96.39
HocLH3,,occisa,B168,19.60007,-104.89
ZANAaOC01,M,occisa,E009,16.45,-94.34
TULIaOC02,M,occisa,E013,15.89,-93.5
TXRSaOC01,M,occisa,E022,16.65,-93.16
MDAA03,M,occisa,E051,10.08,-83.41
LSRP12,F,occisa,E052,10.43,-84.04
NA0104,M,occisa,E055,9.74,-84.63
RT0107,F,occisa,E056,10.93,-85.53
06OT0178,M,occisa,E061,18.69,-96.39
13BJ23,M,occisa,E070,18.36,-95
BZ2312,M,occisa,E106,17.15,-88.71
CUAJ02,M,occisa,E109,16.83,-95
05TM14,M,occisa,E112,19.96691,-105.133542
HocLH1,,occisa,E122,19.60007,-104.89
EC0102,m,occisa,E131,23.1403,-99.116
05AR05_01,m,occisa,E138,18.96,-103.95
05AR48,m,occisa,E145,18.96,-103.95
PAa03,M,titia,E001,18.55,-95.07
ESRBa14,M,titia,E002,9.72,-82.97
NPKBa12,M,titia,E003,31.52,-93.14
CYa06,F,titia,E004,21.75,-98.96
GCJRa03,M,titia,E005,37.67,-77.89
HCARa04,M,titia,E006,27.88,-82.17
ZANAa05,M,titia,E008,16.45,-94.34
STDMa01,M,titia,E010,15.82,-96.69
HXRCb03,F,titia,E011,15.75,-96.3
PUMAa02,M,titia,E012,15.77,-93.33
TULIa07,M,titia,E014,15.89,-93.5
ACTPa01,F,titia,E016,15.29,-92.67
CUAJa03,F,titia,E018,16.79,-95.01
CUAJb01,M,titia,E019,16.83,-95
MIXTa01,M,titia,E020,17.2,-95.21
TXRSa03,F,titia,E021,16.65,-93.16
NR02.10,M,titia,E025,30.68,-94.09
BALB05,M,titia,E026,10.05,-83.33
TN0421,M,titia,E027,36.55,-87.14
TN0102,M,titia,E028,35.03,-89.35
MO0312,M,titia,E029,36.56,-90.35
MO0208,M,titia,E030,36.95,-90.99
MI0118,M,titia,E031,42.23,-84.49
MI0125,F,titia,E032,42.23,-84.49
IL0509,M,titia,E033,42.02,-89.33
Il0411,M,titia,E034,42.02,-89.33
IL0125,F,titia,E035,42.32,-89.36
IA0409,M,titia,E036,41.3,-94.07
IA0105,M,titia,E037,41.29,-94.15
TT01.001,M,titia,E038,30.49,-94.84
LSRP01,M,titia,E040,10.43,-84.04
LSSE05,M,titia,E041,10.42,-84
LSSE07,M,titia,E042,10.42,-84
ST0101,M,titia,E043,9.38,-84.02
11CT04,M,titia,E044,18.37,-95
11CT05,M,titia,E045,18.37,-95
10OT09,m,titia,E046,18.68,-96.38
10OT10,f,titia,E047,18.68,-96.38
BZ3201,M,titia,E048,17.9,-88.85
BZ3213,M,titia,E049,17.9,-88.85
BZ5204,M,titia,E050,16.15,-89.01
GA0204,M,titia,E054,8.7,-83.19
NB0103,M,titia,E057,9.58,-84.57
NB0104,F,titia,E058,9.58,-84.57
05AR27,F,titia,E066,18.96,-103.95
05AR14,M,titia,E067,18.96,-103.95
TM01,m,titia,E068,21.94,-99.4
TM01,m,titia,E069,21.94,-99.4
TN0104,M,titia,E072,35.03,-89.35
MO0102,M,titia,E075,37.44,-90.96
IA0415,M,titia,E077,41.3,-94.07
LCBC04,F,titia,E081,31.17,-89.58
GL23889,F,titia,E083,30.07,-99.24
EAFB014150,M,titia,E084,30.54,-86.86
CVa06,M,titia,E086,29.33,-98.87
ESRBa01,F,titia,E087,9.72,-82.97
CVa07,F,titia,E088,29.33,-98.87
GOa04,M,titia,E089,8.64,-83.2
ARa07,M,titia,E090,18.95,-103.95
ACSFc04,M,titia,E091,29.83,-82.68
SCSCa04,M,titia,E092,28.72,-81.31
GOa01,F,titia,E093,8.64,-83.2
NPKBa04,F,titia,E095,31.52,-93.14
RCJRa01,M,titia,E097,37.52,-77.47
RLPEa05,M,titia,E098,16.52,-95.07
SJ01.21,M,titia,E099,30.21,-95.4
WCKCa01,M,titia,E100,31.05,-90.17
OK0101,M,titia,E101,35.24,-98.55
MI0238,M,titia,E103,42.5,-83.74
CYa04,M,titia,E104,21.75,-98.96
NCRRb05,M,titia,E105,37.84,-78.81
TXRSa04,M,titia,E110,16.65,-93.16
MS0114,M,titia,E111,32.52,-90.74
